Year,Month,Day,DailyRainfall,DailyLongtermMean,SimDay,StasName,DateT,TempMaxC,TempMinC,DayMeanTemp,MosqDay,MosqYear,LongTermMeanTemp,LongTermMaxTemp,FinalTempCMax,FinalMeanTemp,hatchingA,Days_rainyA,Days_hatchingA,hatchingC
1983,1,1,0,4.78161,1,GLEN COLLEGE - AGR,1/1/83,35.5,18.5,27,123,1982,23.51323529,31.39705882,35.5,27,FALSE,0,0,FALSE
1983,1,2,0,2.99013,2,GLEN COLLEGE - AGR,1/2/83,35,9.4,22.2,124,1982,23.28529412,31.96764706,35,22.2,FALSE,0,0,FALSE
1983,1,3,0,3.54583,3,GLEN COLLEGE - AGR,1/3/83,36.6,8.5,22.55,125,1982,23.77205882,32.04705882,36.6,22.55,FALSE,0,0,FALSE
1983,1,4,0,3.76867,4,GLEN COLLEGE - AGR,1/4/83,36.5,14.4,25.45,126,1982,24.07205882,32.25,36.5,25.45,FALSE,0,0,FALSE
1983,1,5,0,4.06899,5,GLEN COLLEGE - AGR,1/5/83,34.8,13,23.9,127,1982,23.725,32.20882353,34.8,23.9,FALSE,0,0,FALSE
1983,1,6,0,4.07458,6,GLEN COLLEGE - AGR,1/6/83,35,12,23.5,128,1982,24.46764706,32.47352941,35,23.5,FALSE,0,0,FALSE
1983,1,7,0,5.30327,7,GLEN COLLEGE - AGR,1/7/83,36.6,18,27.3,129,1982,24.38676471,32.19117647,36.6,27.3,FALSE,0,0,FALSE
1983,1,8,0,2.76278,8,GLEN COLLEGE - AGR,1/8/83,37.7,17.2,27.45,130,1982,23.62647059,31.94705882,37.7,27.45,FALSE,0,0,FALSE
1983,1,9,0,3.45977,9,GLEN COLLEGE - AGR,1/9/83,36.2,17,26.6,131,1982,23.83823529,31.65,36.2,26.6,FALSE,0,0,FALSE
1983,1,10,9.05115,3.61971,10,GLEN COLLEGE - AGR,1/10/83,37,22.5,29.75,132,1982,23.20882353,31.19117647,37,29.75,FALSE,0,0,FALSE
1983,1,11,0,6.0966,11,GLEN COLLEGE - AGR,1/11/83,35.5,16.4,25.95,133,1982,23.09117647,31.35882353,35.5,25.95,FALSE,0,0,FALSE
1983,1,12,6.18039,3.27495,12,GLEN COLLEGE - AGR,1/12/83,34,18,26,134,1982,23.32794118,31.46176471,34,26,FALSE,0,0,FALSE
1983,1,13,1.26596,4.14851,13,GLEN COLLEGE - AGR,1/13/83,33,17.5,25.25,135,1982,23.54264706,31.19411765,33,25.25,FALSE,0,0,FALSE
1983,1,14,9.415,6.31304,14,GLEN COLLEGE - AGR,1/14/83,34.6,17.5,26.05,136,1982,23.54393939,31.19393939,34.6,26.05,FALSE,0,0,FALSE
1983,1,15,5.31165,3.17806,15,GLEN COLLEGE - AGR,1/15/83,30.2,18,24.1,137,1982,23.25151515,30.96666667,30.2,24.1,FALSE,0,0,FALSE
1983,1,16,0,3.45204,16,GLEN COLLEGE - AGR,1/16/83,30.4,16.2,23.3,138,1982,23.54090909,31.23333333,30.4,23.3,FALSE,0,0,FALSE
1983,1,17,0,2.88078,17,GLEN COLLEGE - AGR,1/17/83,27,16.8,21.9,139,1982,23.71666667,31.66060606,27,21.9,FALSE,0,0,FALSE
1983,1,18,0,4.06096,18,GLEN COLLEGE - AGR,1/18/83,31,15,23,140,1982,23.74264706,31.45882353,31,23,FALSE,0,0,FALSE
1983,1,19,0,7.07215,19,GLEN COLLEGE - AGR,1/19/83,36.5,16,26.25,141,1982,23.51212121,31.54848485,36.5,26.25,FALSE,0,0,FALSE
1983,1,20,0,4.40239,20,GLEN COLLEGE - AGR,1/20/83,37.2,18.5,27.85,142,1982,23.88939394,31.43636364,37.2,27.85,FALSE,0,0,FALSE
1983,1,21,0,4.92456,21,GLEN COLLEGE - AGR,1/21/83,37,18.5,27.75,143,1982,23.40606061,31.45757576,37,27.75,FALSE,0,0,FALSE
1983,1,22,0,6.23723,22,GLEN COLLEGE - AGR,1/22/83,32.5,20.2,26.35,144,1982,23.15454545,30.68787879,32.5,26.35,FALSE,0,0,FALSE
1983,1,23,0,3.69017,23,GLEN COLLEGE - AGR,1/23/83,33,13.5,23.25,145,1982,23.67121212,31.28787879,33,23.25,FALSE,0,0,FALSE
1983,1,24,0,3.95754,24,GLEN COLLEGE - AGR,1/24/83,35.2,15,25.1,146,1982,23.91969697,31.43939394,35.2,25.1,FALSE,0,0,FALSE
1983,1,25,0,4.78488,25,GLEN COLLEGE - AGR,1/25/83,35,14.5,24.75,147,1982,23.44393939,31.16363636,35,24.75,FALSE,0,0,FALSE
1983,1,26,0,4.54343,26,GLEN COLLEGE - AGR,1/26/83,32.8,19.5,26.15,148,1982,23.49393939,30.82352941,32.8,26.15,FALSE,0,0,FALSE
1983,1,27,0,3.32354,27,GLEN COLLEGE - AGR,1/27/83,34.8,19.5,27.15,149,1982,23.99852941,31.39117647,34.8,27.15,FALSE,0,0,FALSE
1983,1,28,0,4.04825,28,GLEN COLLEGE - AGR,1/28/83,36.4,19,27.7,150,1982,23.66470588,31.14411765,36.4,27.7,FALSE,0,0,FALSE
